id,flightId,duration,endPrice,departure,arrival,departureRounded,daynight,flightIdUnique,company,departureMonth,departureDay,departureHour,departureWeekday,cluster,medianPrice,meanPrice,sumPrice,sdPrice
165366,LH809,2 h 10 m,6468,2019-04-10T04:05:00Z,2019-04-10T06:15:00Z,2019-04-10T12:00:00Z,day,LH809_2019_4_10_4_5,LH,4,10,4,Wednesday,1,1795,2574.6101694915255,151902,1170.622042378194
165363,SK635,2 h 15 m,4419,2019-04-10T07:00:00Z,2019-04-10T09:15:00Z,2019-04-10T12:00:00Z,day,SK635_2019_4_10_7_0,SK,4,10,7,Wednesday,1,1329,2236.4576271186443,131951,1057.5208373594562
165359,LH801,2 h 10 m,1793,2019-04-10T08:00:00Z,2019-04-10T10:10:00Z,2019-04-10T12:00:00Z,day,LH801_2019_4_10_8_0,LH,4,10,8,Wednesday,1,1793,1774.1864406779662,104677,293.8839481587736
165362,LH803,2 h 5 m,2104,2019-04-10T11:15:00Z,2019-04-10T13:20:00Z,2019-04-10T12:00:00Z,day,LH803_2019_4_10_11_15,LH,4,10,11,Wednesday,3,1795,2000.6833333333334,120041,671.249138917269
169544,SK637,2 h 15 m,4419,2019-04-10T12:35:00Z,2019-04-10T14:50:00Z,2019-04-11T12:00:00Z,day,SK637_2019_4_10_12_35,SK,4,10,12,Wednesday,1,1499,1802.448275862069,104542,838.7470850716999
169542,LH807,2 h 5 m,1793,2019-04-10T14:25:00Z,2019-04-10T16:30:00Z,2019-04-11T12:00:00Z,day,LH807_2019_4_10_14_25,LH,4,10,14,Wednesday,1,1464,1492.5344827586207,86567,151.2990782218464
169545,SK673,2 h 10 m,4419,2019-04-10T15:00:00Z,2019-04-10T17:10:00Z,2019-04-11T12:00:00Z,day,SK673_2019_4_10_15_0,SK,4,10,15,Wednesday,1,1499,1879.6724137931035,109021,900.38641583607955
169543,LH805,2 h 5 m,1793,2019-04-10T16:50:00Z,2019-04-10T18:55:00Z,2019-04-11T12:00:00Z,day,LH805_2019_4_10_16_50,LH,4,10,16,Wednesday,3,1793,1918.8793103448277,111295,565.7882586264194
169553,LH809,2 h 10 m,6467,2019-04-11T04:05:00Z,2019-04-11T06:15:00Z,2019-04-11T12:00:00Z,day,LH809_2019_4_11_4_5,LH,4,11,4,Thursday,1,2645,3502.7758620689656,203161,1703.5620992713489
169550,SK635,2 h 15 m,4419,2019-04-11T07:00:00Z,2019-04-11T09:15:00Z,2019-04-11T12:00:00Z,day,SK635_2019_4_11_7_0,SK,4,11,7,Thursday,1,2499,2913.7457627118642,171911,643.3676375196361
169547,LH801,2 h 10 m,1793,2019-04-11T08:10:00Z,2019-04-11T10:20:00Z,2019-04-11T12:00:00Z,day,LH801_2019_4_11_8_10,LH,4,11,8,Thursday,2,3030,2849.1186440677966,168098,583.6271272070232
169548,LH803,2 h 5 m,2645,2019-04-11T11:10:00Z,2019-04-11T13:15:00Z,2019-04-11T12:00:00Z,day,LH803_2019_4_11_11_10,LH,4,11,11,Thursday,3,3034,3290.5666666666666,197434,714.1900797802341
173822,SK637,2 h 15 m,4419,2019-04-11T12:35:00Z,2019-04-11T14:50:00Z,2019-04-12T12:00:00Z,day,SK637_2019_4_11_12_35,SK,4,11,12,Thursday,1,2499,2847.103448275862,165132,618.6302268170869
173824,LH807,2 h 5 m,6467,2019-04-11T14:25:00Z,2019-04-11T16:30:00Z,2019-04-12T12:00:00Z,day,LH807_2019_4_11_14_25,LH,4,11,14,Thursday,1,3265,3592.155172413793,208345,1265.5942477984388
173823,SK673,2 h 10 m,4419,2019-04-11T15:00:00Z,2019-04-11T17:10:00Z,2019-04-12T12:00:00Z,day,SK673_2019_4_11_15_0,SK,4,11,15,Thursday,1,2499,2987.103448275862,173252,751.9575783493531
173825,LH805,2 h 5 m,6467,2019-04-11T16:50:00Z,2019-04-11T18:55:00Z,2019-04-12T12:00:00Z,day,LH805_2019_4_11_16_50,LH,4,11,16,Thursday,1,3497.5,4352.8448275862065,252465,1569.6906254767591
173829,SK635,2 h 15 m,4469,2019-04-12T07:00:00Z,2019-04-12T09:15:00Z,2019-04-12T12:00:00Z,day,SK635_2019_4_12_7_0,SK,4,12,7,Friday,1,3559,3636.1186440677966,214531,659.0590231729749
173832,LH801,2 h 10 m,5368,2019-04-12T08:00:00Z,2019-04-12T10:10:00Z,2019-04-12T12:00:00Z,day,LH801_2019_4_12_8_0,LH,4,12,8,Friday,3,4267,4024.1186440677966,237423,1097.3889400212163
173826,LH803,2 h 5 m,2260,2019-04-12T11:10:00Z,2019-04-12T13:15:00Z,2019-04-12T12:00:00Z,day,LH803_2019_4_12_11_10,LH,4,12,11,Friday,4,3266.5,3398.7166666666667,203923,925.6533577428244
178124,SK637,2 h 15 m,4469,2019-04-12T12:35:00Z,2019-04-12T14:50:00Z,2019-04-13T12:00:00Z,day,SK637_2019_4_12_12_35,SK,4,12,12,Friday,1,2549,3011.2413793103447,174652,640.5563456417583
178121,LH807,2 h 5 m,2645,2019-04-12T14:25:00Z,2019-04-12T16:30:00Z,2019-04-13T12:00:00Z,day,LH807_2019_4_12_14_25,LH,4,12,14,Friday,5,3502,3852.293103448276,223433,700.1886965874244
178123,SK673,2 h 10 m,4469,2019-04-12T15:00:00Z,2019-04-12T17:10:00Z,2019-04-13T12:00:00Z,day,SK673_2019_4_12_15_0,SK,4,12,15,Friday,1,3559,3609.862068965517,209372,655.9211668580964
178125,LH805,2 h 5 m,5258,2019-04-12T16:50:00Z,2019-04-12T18:55:00Z,2019-04-13T12:00:00Z,day,LH805_2019_4_12_16_50,LH,4,12,16,Friday,1,4267,4349.0344827586205,252244,1356.2273002775564
178130,LH809,2 h 10 m,3030,2019-04-13T04:20:00Z,2019-04-13T06:30:00Z,2019-04-13T12:00:00Z,day,LH809_2019_4_13_4_20,LH,4,13,4,Saturday,3,4271,4689.983050847458,276709,1355.5650875573344
178131,SK635,2 h 15 m,4469,2019-04-13T07:00:00Z,2019-04-13T09:15:00Z,2019-04-13T12:00:00Z,day,SK635_2019_4_13_7_0,SK,4,13,7,Saturday,1,2999,3135.101694915254,184971,613.525754592912
178128,LH801,2 h 10 m,1793,2019-04-13T08:00:00Z,2019-04-13T10:10:00Z,2019-04-13T12:00:00Z,day,LH801_2019_4_13_8_0,LH,4,13,8,Saturday,4,4267,3992.101694915254,235534,871.6675001737459
178129,LH803,2 h 5 m,2645,2019-04-13T11:10:00Z,2019-04-13T13:15:00Z,2019-04-13T12:00:00Z,day,LH803_2019_4_13_11_10,LH,4,13,11,Saturday,5,4267,3979.7,238782,783.0048877480191
182320,LH807,2 h 5 m,1629,2019-04-13T14:25:00Z,2019-04-13T16:30:00Z,2019-04-14T12:00:00Z,day,LH807_2019_4_13_14_25,LH,4,13,14,Saturday,5,3029,2993.655172413793,173632,738.9995739078166
182323,SK673,2 h 10 m,4469,2019-04-13T15:00:00Z,2019-04-13T17:10:00Z,2019-04-14T12:00:00Z,day,SK673_2019_4_13_15_0,SK,4,13,15,Saturday,1,2549,3011.2413793103447,174652,640.5563456417583
182321,LH805,2 h 5 m,1721,2019-04-13T16:50:00Z,2019-04-13T18:55:00Z,2019-04-14T12:00:00Z,day,LH805_2019_4_13_16_50,LH,4,13,16,Saturday,2,2263,2183.4827586206898,126642,451.3162909029118
182328,LH809,2 h 10 m,1986,2019-04-14T04:20:00Z,2019-04-14T06:30:00Z,2019-04-14T12:00:00Z,day,LH809_2019_4_14_4_20,LH,4,14,4,Sunday,5,2260,2275.915254237288,134279,279.10128480014095
182331,SK635,2 h 15 m,2999,2019-04-14T07:00:00Z,2019-04-14T09:15:00Z,2019-04-14T12:00:00Z,day,SK635_2019_4_14_7_0,SK,4,14,7,Sunday,1,1549,1729.5084745762713,102041,352.8232131741469
182326,LH801,2 h 10 m,1794,2019-04-14T08:00:00Z,2019-04-14T10:10:00Z,2019-04-14T12:00:00Z,day,LH801_2019_4_14_8_0,LH,4,14,8,Sunday,5,2645,2905.0677966101694,171399,944.0765943576968
182324,LH803,2 h 5 m,1464,2019-04-14T11:10:00Z,2019-04-14T13:15:00Z,2019-04-14T12:00:00Z,day,LH803_2019_4_14_11_10,LH,4,14,11,Sunday,4,2650,2807.864406779661,165664,529.5795813866173
186623,SK637,2 h 15 m,2549,2019-04-14T12:35:00Z,2019-04-14T14:50:00Z,2019-04-15T12:00:00Z,day,SK637_2019_4_14_12_35,SK,4,14,12,Sunday,1,1549,1678.3103448275863,97342,235.27409971429122
186621,LH807,2 h 5 m,1464,2019-04-14T14:25:00Z,2019-04-14T16:30:00Z,2019-04-15T12:00:00Z,day,LH807_2019_4_14_14_25,LH,4,14,14,Sunday,2,2260,2310.9310344827586,134034,380.37045018092675
186624,SK673,2 h 10 m,2549,2019-04-14T15:00:00Z,2019-04-14T17:10:00Z,2019-04-15T12:00:00Z,day,SK673_2019_4_14_15_0,SK,4,14,15,Sunday,1,1549,1690.5172413793102,98050,345.19992891886557
186622,LH805,2 h 5 m,1464,2019-04-14T16:50:00Z,2019-04-14T18:55:00Z,2019-04-15T12:00:00Z,day,LH805_2019_4_14_16_50,LH,4,14,16,Sunday,4,1985,1963.0172413793102,113855,206.78605702931276
186628,LH809,2 h 10 m,2645,2019-04-15T04:05:00Z,2019-04-15T06:15:00Z,2019-04-15T12:00:00Z,day,LH809_2019_4_15_4_5,LH,4,15,4,Monday,3,2260,2279.084745762712,134466,375.99657409185744
186630,SK635,2 h 15 m,4469,2019-04-15T07:00:00Z,2019-04-15T09:15:00Z,2019-04-15T12:00:00Z,day,SK635_2019_4_15_7_0,SK,4,15,7,Monday,1,1379,1967.6440677966102,116091,932.4799297592722
