flightIdUnique,timeToDepartureDays,price,departure
SK637_2019_4_4_12_35,28.5,90.1004301,2019-04-04T12:35:00Z
SK673_2019_4_4_15_0,28.5,90.1004301,2019-04-04T15:00:00Z
LH809_2019_4_4_4_5,27.5,151.56212699999998,2019-04-04T04:05:00Z
LH801_2019_4_4_8_10,27.5,151.56212699999998,2019-04-04T08:10:00Z
LH803_2019_4_4_11_10,27.5,151.56212699999998,2019-04-04T11:10:00Z
LH807_2019_4_4_14_25,28.5,151.56212699999998,2019-04-04T14:25:00Z
LH805_2019_4_4_16_50,28.5,151.56212699999998,2019-04-04T16:50:00Z
SK635_2019_4_5_7_0,28.5,90.1004301,2019-04-05T07:00:00Z
SK637_2019_4_5_12_35,29.5,90.1004301,2019-04-05T12:35:00Z
SK673_2019_4_5_15_0,29.5,90.1004301,2019-04-05T15:00:00Z
LH803_2019_4_5_11_10,28.5,120.87777,2019-04-05T11:10:00Z
LH807_2019_4_5_14_25,29.5,151.56212699999998,2019-04-05T14:25:00Z
LH805_2019_4_5_16_50,29.5,151.56212699999998,2019-04-05T16:50:00Z
LH801_2019_4_5_8_0,28.5,166.9972884,2019-04-05T08:00:00Z
LH809_2019_4_5_4_20,28.5,210.5132856,2019-04-05T04:20:00Z
SK635_2019_4_6_7_0,29.5,90.1004301,2019-04-06T07:00:00Z
LH801_2019_4_6_8_0,29.5,120.87777,2019-04-06T08:00:00Z
LH803_2019_4_6_11_10,29.5,120.87777,2019-04-06T11:10:00Z
LH809_2019_4_6_4_20,29.5,136.2199485,2019-04-06T04:20:00Z
SK637_2019_4_1_12_35,25,70.5740211,2019-04-01T12:35:00Z
SK673_2019_4_1_15_0,25,70.5740211,2019-04-01T15:00:00Z
LH805_2019_4_1_16_50,25,136.2199485,2019-04-01T16:50:00Z
LH803_2019_4_1_11_10,24,136.2199485,2019-04-01T11:10:00Z
LH807_2019_4_1_14_25,25,136.2199485,2019-04-01T14:25:00Z
SK635_2019_4_1_7_0,24,139.38136709999998,2019-04-01T07:00:00Z
LH809_2019_4_1_4_5,24,166.9043055,2019-04-01T04:05:00Z
LH801_2019_4_1_8_10,24,166.9043055,2019-04-01T08:10:00Z
SK637_2019_4_2_12_35,26,70.5740211,2019-04-02T12:35:00Z
SK673_2019_4_2_15_0,26,70.5740211,2019-04-02T15:00:00Z
SK635_2019_4_2_7_0,25,84.8004048,2019-04-02T07:00:00Z
LH801_2019_4_2_8_0,25,136.2199485,2019-04-02T08:00:00Z
LH803_2019_4_2_11_10,25,136.2199485,2019-04-02T11:10:00Z
LH807_2019_4_2_14_25,26,136.2199485,2019-04-02T14:25:00Z
LH805_2019_4_2_16_50,26,136.2199485,2019-04-02T16:50:00Z
LH809_2019_4_2_4_5,25,166.9043055,2019-04-02T04:05:00Z
SK635_2019_4_3_7_0,26,70.5740211,2019-04-03T07:00:00Z
