flightIdUnique,timeToDepartureDays,price
SK673_2019_5_8_15_0,30,969
LH801_2019_5_8_8_0,29,1299
LH807_2019_5_8_14_25,30,1299
LH803_2019_5_8_11_15,29,1464
LH809_2019_5_8_4_5,29,1629
LH805_2019_5_8_16_50,30,1629
LH801_2019_5_9_8_10,30,1629
SK635_2019_5_9_7_0,30,1749
LH809_2019_5_9_4_5,30,1985
LH803_2019_5_9_11_10,30,1985
LH807_2019_5_1_14_25,22.5,1629
LH805_2019_5_1_16_50,22.5,1629
LH801_2019_5_1_8_0,21.5,1793
LH801_2019_5_2_8_10,22.5,1629
LH809_2019_5_2_4_5,22.5,1793
LH803_2019_5_2_11_10,22.5,1793
LH805_2019_5_2_16_50,23.5,1793
LH803_2019_5_3_11_10,23.5,1299
SK637_2019_5_3_12_35,24.5,1329
SK673_2019_5_3_15_0,24.5,1329
LH809_2019_5_3_4_20,23.5,1793
LH801_2019_5_3_8_0,23.5,1793
LH807_2019_5_3_14_25,24.5,1793
LH805_2019_5_3_16_50,24.5,1793
SK635_2019_5_4_7_0,24.5,1329
SK673_2019_5_4_15_0,25.5,1329
LH807_2019_5_4_14_25,25.5,1464
LH801_2019_5_4_8_0,24.5,1464
LH809_2019_5_4_4_20,24.5,1629
LH805_2019_5_4_16_50,25.5,1629
LH803_2019_5_4_11_10,24.5,1793
LH809_2019_5_5_4_20,25.5,1464
SK635_2019_5_5_7_0,25.5,1499
LH801_2019_5_5_8_0,25.5,2260
LH803_2019_5_5_11_10,25.5,2645
SK637_2019_5_5_12_35,26.5,2949
SK673_2019_5_5_15_0,26.5,2949
LH807_2019_5_5_14_25,26.5,3030
LH805_2019_5_5_16_50,26.5,4268
SK637_2019_5_6_12_35,27.5,969
SK673_2019_5_6_15_0,27.5,969
LH807_2019_5_6_14_25,27.5,1299
LH803_2019_5_6_11_10,26.5,1464
SK635_2019_5_6_7_0,26.5,1499
LH805_2019_5_6_16_50,27.5,1629
LH801_2019_5_6_8_10,26.5,1793
LH809_2019_5_6_4_5,26.5,2645
SK635_2019_5_7_7_0,27.5,969
SK637_2019_5_7_12_35,28.5,969
SK673_2019_5_7_15_0,28.5,969
LH801_2019_5_7_8_0,27.5,1299
LH803_2019_5_7_11_10,27.5,1299
LH807_2019_5_7_14_25,28.5,1299
LH805_2019_5_7_16_50,28.5,1464
LH809_2019_5_7_4_5,27.5,1629
SK635_2019_5_8_7_0,28.5,969
SK637_2019_5_8_12_35,29.5,969
SK673_2019_5_8_15_0,29.5,969
LH801_2019_5_8_8_0,28.5,1299
LH807_2019_5_8_14_25,29.5,1299
LH803_2019_5_8_11_15,28.5,1464
LH809_2019_5_8_4_5,28.5,1629
LH805_2019_5_8_16_50,29.5,1629
LH801_2019_5_9_8_10,29.5,1629
SK635_2019_5_9_7_0,29.5,1749
LH809_2019_5_9_4_5,29.5,1985
LH803_2019_5_9_11_10,29.5,1985
LH807_2019_5_1_14_25,22,1629
LH805_2019_5_1_16_50,22,1629
LH801_2019_5_1_8_0,21,1793
LH801_2019_5_2_8_10,22,1629
LH809_2019_5_2_4_5,22,1793
LH803_2019_5_2_11_10,22,1793
LH805_2019_5_2_16_50,23,1793
LH803_2019_5_3_11_10,23,1299
SK637_2019_5_3_12_35,24,1499
SK673_2019_5_3_15_0,24,1499
LH809_2019_5_3_4_20,23,1793
LH801_2019_5_3_8_0,23,1793
LH807_2019_5_3_14_25,24,1793
LH805_2019_5_3_16_50,24,1793
SK635_2019_5_4_7_0,24,1329
SK673_2019_5_4_15_0,25,1329
LH807_2019_5_4_14_25,25,1464
LH801_2019_5_4_8_0,24,1464
LH809_2019_5_4_4_20,24,1629
LH805_2019_5_4_16_50,25,1629
LH803_2019_5_4_11_10,24,1793
LH809_2019_5_5_4_20,25,1464
SK635_2019_5_5_7_0,25,1749
LH801_2019_5_5_8_0,25,2260
LH803_2019_5_5_11_10,25,2645
LH807_2019_5_5_14_25,26,2645
SK637_2019_5_5_12_35,26,2949
SK673_2019_5_5_15_0,26,2949
LH805_2019_5_5_16_50,26,4267
SK637_2019_5_6_12_35,27,969
SK673_2019_5_6_15_0,27,969
LH807_2019_5_6_14_25,27,1299
LH803_2019_5_6_11_10,26,1464
SK635_2019_5_6_7_0,26,1499
LH801_2019_5_6_8_10,26,1629
LH805_2019_5_6_16_50,27,1793
LH809_2019_5_6_4_5,26,2645
SK635_2019_5_7_7_0,27,969
SK637_2019_5_7_12_35,28,969
SK673_2019_5_7_15_0,28,969
LH801_2019_5_7_8_0,27,1299
LH803_2019_5_7_11_10,27,1299
LH807_2019_5_7_14_25,28,1299
LH805_2019_5_7_16_50,28,1299
LH809_2019_5_7_4_5,27,1629
SK635_2019_5_8_7_0,28,969
SK637_2019_5_8_12_35,29,969
SK673_2019_5_8_15_0,29,969
LH801_2019_5_8_8_0,28,1299
LH807_2019_5_8_14_25,29,1299
LH803_2019_5_8_11_15,28,1464
LH809_2019_5_8_4_5,28,1629
LH805_2019_5_8_16_50,29,1629
SK637_2019_5_9_12_35,30,969
SK673_2019_5_9_15_0,30,969
LH801_2019_5_9_8_10,29,1629
SK635_2019_5_9_7_0,29,1749
LH807_2019_5_9_14_25,30,1793
LH809_2019_5_9_4_5,29,1985
LH803_2019_5_9_11_10,29,1985
LH805_2019_5_9_16_50,30,1985
LH809_2019_5_10_4_20,30,1722
SK635_2019_5_10_7_0,30,1749
LH803_2019_5_10_11_10,30,1793
LH801_2019_5_10_8_0,30,2260
LH807_2019_5_1_14_25,21.5,1629
LH805_2019_5_1_16_50,21.5,1629
LH801_2019_5_1_8_0,20.5,1793
LH803_2019_5_2_11_10,21.5,1629
LH801_2019_5_2_8_10,21.5,1629
LH809_2019_5_2_4_5,21.5,1793
LH805_2019_5_2_16_50,22.5,1793
LH803_2019_5_3_11_10,22.5,1299
SK637_2019_5_3_12_35,23.5,1499
SK673_2019_5_3_15_0,23.5,1499
LH809_2019_5_3_4_20,22.5,1793
LH801_2019_5_3_8_0,22.5,1793
LH807_2019_5_3_14_25,23.5,1793
LH805_2019_5_3_16_50,23.5,1985
SK635_2019_5_4_7_0,23.5,1329
SK673_2019_5_4_15_0,24.5,1329
LH801_2019_5_4_8_0,23.5,1464
LH809_2019_5_4_4_20,23.5,1629
LH807_2019_5_4_14_25,24.5,1629
LH805_2019_5_4_16_50,24.5,1629
LH803_2019_5_4_11_10,23.5,1985
LH809_2019_5_5_4_20,24.5,1464
SK635_2019_5_5_7_0,24.5,1749
LH801_2019_5_5_8_0,24.5,2260
LH803_2019_5_5_11_10,24.5,2645
LH807_2019_5_5_14_25,25.5,2645
SK637_2019_5_5_12_35,25.5,2949
SK673_2019_5_5_15_0,25.5,2949
LH805_2019_5_5_16_50,25.5,4267
SK637_2019_5_6_12_35,26.5,969
SK673_2019_5_6_15_0,26.5,969
LH807_2019_5_6_14_25,26.5,1299
LH803_2019_5_6_11_10,25.5,1464
SK635_2019_5_6_7_0,25.5,1499
LH801_2019_5_6_8_10,25.5,1629
LH805_2019_5_6_16_50,26.5,1629
LH809_2019_5_6_4_5,25.5,2645
SK635_2019_5_7_7_0,26.5,969
SK637_2019_5_7_12_35,27.5,969
SK673_2019_5_7_15_0,27.5,969
LH801_2019_5_7_8_0,26.5,1299
LH803_2019_5_7_11_10,26.5,1299
LH807_2019_5_7_14_25,27.5,1299
LH805_2019_5_7_16_50,27.5,1299
LH809_2019_5_7_4_5,26.5,1629
SK635_2019_5_8_7_0,27.5,969
SK637_2019_5_8_12_35,28.5,969
SK673_2019_5_8_15_0,28.5,969
LH801_2019_5_8_8_0,27.5,1299
LH807_2019_5_8_14_25,28.5,1299
LH803_2019_5_8_11_15,27.5,1464
LH809_2019_5_8_4_5,27.5,1629
LH805_2019_5_8_16_50,28.5,1629
SK637_2019_5_9_12_35,29.5,969
SK673_2019_5_9_15_0,29.5,969
LH801_2019_5_9_8_10,28.5,1629
SK635_2019_5_9_7_0,28.5,1749
LH807_2019_5_9_14_25,29.5,1793
LH809_2019_5_9_4_5,28.5,1985
LH803_2019_5_9_11_10,28.5,2260
LH805_2019_5_9_16_50,29.5,2260
LH809_2019_5_10_4_20,29.5,1723
SK635_2019_5_10_7_0,29.5,1749
LH803_2019_5_10_11_10,29.5,1793
LH801_2019_5_10_8_0,29.5,2260
LH807_2019_5_1_14_25,21,1629
LH805_2019_5_1_16_50,21,1629
LH801_2019_5_1_8_0,20,1985
LH803_2019_5_2_11_10,21,1629
LH801_2019_5_2_8_10,21,1629
LH809_2019_5_2_4_5,21,1793
LH805_2019_5_2_16_50,22,1793
LH803_2019_5_3_11_10,22,1299
LH801_2019_5_3_8_0,22,1464
SK637_2019_5_3_12_35,23,1499
SK673_2019_5_3_15_0,23,1499
LH809_2019_5_3_4_20,22,1793
LH807_2019_5_3_14_25,23,1793
LH805_2019_5_3_16_50,23,1985
SK673_2019_5_4_15_0,24,1329
LH807_2019_5_4_14_25,24,1464
LH801_2019_5_4_8_0,23,1464
SK635_2019_5_4_7_0,23,1499
LH809_2019_5_4_4_20,23,1629
LH805_2019_5_4_16_50,24,1793
LH803_2019_5_4_11_10,23,1985
SK637_2019_5_5_12_35,25,1329
